Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,WT_rep1,WT_rep2,KO_rep1,KO_rep3,chrom,type,symbol
ENSMUSG00000002055.10,1880.931028,-0.838797425,0.126653013,-6.622798821,3.52E-11,1.80E-09,2196.992476,2628.830313,1404.085922,1293.815399,chr11,protein_coding,Spag5
ENSMUSG00000002190.14,6176.037031,-1.666643009,0.26700611,-6.241965805,4.32E-10,1.87E-08,8045.29725,10741.41454,3307.268766,2610.167567,chr8,protein_coding,Clgn
ENSMUSG00000002210.12,1364.722172,-1.096541498,0.178151741,-6.15509841,7.50E-10,3.14E-08,1477.588938,2242.091791,935.0550785,804.1528806,chr7,protein_coding,Smg9
ENSMUSG00000002279.20,432.0310884,-1.087881159,0.232088051,-4.687363935,2.77E-06,5.57E-05,468.2909824,707.0373493,294.647581,258.1484406,chr17,protein_coding,Lmf1
ENSMUSG00000002332.17,784.8432189,-0.744207989,0.159378356,-4.669442011,3.02E-06,6.02E-05,895.8610098,1069.976578,574.2621222,599.2731658,chr14,protein_coding,Dhrs1
ENSMUSG00000002486.16,994.0964182,-1.173336013,0.178986641,-6.555439052,5.55E-11,2.77E-09,1124.673995,1630.251616,584.2841487,637.175913,chr5,protein_coding,Tchp
ENSMUSG00000002835.10,1089.249788,-0.623502625,0.144549518,-4.313418927,1.61E-05,0.000271729,1202.237719,1439.857267,829.8237996,885.0803679,chr17,protein_coding,Chaf1a
ENSMUSG00000003033.16,2966.060941,-0.642424071,0.112475209,-5.711694815,1.12E-08,3.73E-07,3364.32652,3867.385221,2442.367874,2190.164151,chr8,protein_coding,Ap1m1
ENSMUSG00000003153.11,9491.5735,-3.567321424,0.41792427,-8.535808236,1.39E-17,1.78E-15,12666.1561,22346.54512,1607.533061,1346.059726,chr6,protein_coding,Slc2a3
ENSMUSG00000003341.10,3054.156638,-4.116100175,0.691849653,-5.949414234,2.69E-09,1.02E-07,3309.062366,8241.497069,406.8942785,259.1728392,chr10,protein_coding,Atp8b3
ENSMUSG00000003354.7,544.5296926,-3.022098366,0.252752211,-11.95676331,5.98E-33,3.27E-30,745.581295,1193.931232,142.3127772,96.29346596,chr15,protein_coding,Ccdc65
ENSMUSG00000003531.16,896.445673,-0.749908128,0.166293533,-4.509544735,6.50E-06,0.000120159,969.5465474,1279.212035,685.506617,651.5174931,chr16,protein_coding,Dgcr6
ENSMUSG00000003604.15,621.3974216,-1.046748089,0.213397892,-4.905147281,9.34E-07,2.10E-05,650.5657333,1024.361265,399.8788599,410.7838282,chr2,protein_coding,Aven
ENSMUSG00000003813.16,781.7546447,-0.656096935,0.161713182,-4.057164221,4.97E-05,0.000745046,860.9573341,1052.127108,600.3193912,613.6147458,chr8,protein_coding,Rad23a
ENSMUSG00000003868.15,1538.529283,-0.709947715,0.129168214,-5.49630355,3.88E-08,1.17E-06,1800.447939,2018.973413,1244.735699,1089.960083,chr7,protein_coding,Ruvbl2
ENSMUSG00000004032.11,2065.312909,-1.830026075,0.343953623,-5.320560541,1.03E-07,2.85E-06,2473.313242,3974.482042,959.1079423,854.3484107,chr3,protein_coding,Gstm5
ENSMUSG00000004127.13,1056.125576,-0.771926815,0.163107896,-4.732614641,2.22E-06,4.58E-05,1143.095379,1521.17152,736.6189525,823.6164535,chr3,protein_coding,Trmt10a
ENSMUSG00000004347.18,1056.225828,-1.897848602,0.387493077,-4.89776132,9.69E-07,2.16E-05,1340.882875,1990.215933,531.1674079,362.6370952,chr6,protein_coding,Pde1c
ENSMUSG00000004843.8,1547.408981,-0.690304475,0.126485561,-5.4575753,4.83E-08,1.42E-06,1836.321161,1985.257747,1264.779753,1103.277264,chr16,protein_coding,Chmp2b
ENSMUSG00000004994.13,330.1847528,-0.657082793,0.233694021,-2.81172274,0.004927696,0.038691113,344.1890243,464.0862265,265.583704,246.8800563,chr8,protein_coding,Ccdc130
ENSMUSG00000005131.5,100.1258998,-1.782822935,0.394534397,-4.518802281,6.22E-06,0.000115658,132.827877,177.5030653,45.09911954,45.07353726,chr9,protein_coding,4930550C14Rik
ENSMUSG00000005237.15,1008.677275,-2.130697381,0.552369049,-3.857380106,0.000114609,0.001566889,1027.71934,2256.966349,408.8986839,341.1247251,chr11,protein_coding,Dnah2
ENSMUSG00000005360.15,119.2530298,-1.052826884,0.350079197,-3.00739631,0.00263496,0.023080424,149.3101683,172.5448791,71.15638861,84.00068307,chr15,protein_coding,Slc1a3
ENSMUSG00000005474.10,128.8533071,-1.74373402,0.425558435,-4.097519577,4.18E-05,0.000640508,118.2846788,278.6500633,62.1365647,56.34192157,chr5,protein_coding,Myl10
ENSMUSG00000005947.12,132.4121044,-1.730276059,0.439702989,-3.935101877,8.32E-05,0.001181663,111.497853,295.5078964,59.12995673,63.51271159,chr11,protein_coding,Itgae
ENSMUSG00000006310.11,1209.489377,-0.62945986,0.132907745,-4.736066077,2.18E-06,4.51E-05,1377.725644,1560.83701,964.1189556,935.2758981,chr7,protein_coding,Zbtb32
ENSMUSG00000006589.9,848.1097969,-0.73333199,0.172711598,-4.245991567,2.18E-05,0.000357137,902.6478356,1215.747251,661.4537533,612.5903473,chr8,protein_coding,Aprt
ENSMUSG00000006711.16,83.60055169,-1.81539791,0.439509125,-4.130512448,3.62E-05,0.000566012,103.7414806,156.6786833,36.07929563,37.90274724,chr13,protein_coding,D130043K22Rik
ENSMUSG00000006784.15,400.4629032,-2.489782531,0.283917208,-8.769396368,1.80E-18,2.69E-16,466.3518893,893.4651497,126.2775347,115.7570389,chr11,protein_coding,Odad4
ENSMUSG00000006906.11,1678.28903,-2.599935414,0.121156581,-21.45930003,3.74E-102,3.78E-98,2952.269237,2810.299927,465.0220326,485.5649241,chr6,protein_coding,Stambp
ENSMUSG00000007867.10,814.3198622,-0.652114527,0.165235995,-3.946564588,7.93E-05,0.001131285,891.9828236,1098.734058,675.4845905,591.0779772,chr12,protein_coding,Ift43
ENSMUSG00000007950.10,1909.334596,-1.071465952,0.150384085,-7.124862648,1.04E-12,6.71E-11,2186.327464,2988.79463,1314.889885,1147.326403,chr8,protein_coding,Abhd8
ENSMUSG00000007987.13,1026.974809,-0.982048928,0.175337027,-5.600921504,2.13E-08,6.82E-07,1116.917623,1610.418871,708.5572781,672.0054645,chr5,protein_coding,Ift22
ENSMUSG00000008496.20,323.2803768,-0.910522903,0.25069615,-3.631977999,0.000281257,0.003420046,378.1231535,466.069501,266.5859066,182.3429462,chr7,protein_coding,Pou2f2
ENSMUSG00000008822.16,761.7060618,-1.827488259,0.484927272,-3.768582142,0.000164177,0.002137688,820.2363791,1556.870461,380.8370095,288.8803979,chr12,protein_coding,Acyp1
ENSMUSG00000009070.15,30.81062988,-3.192918032,0.773009984,-4.130500377,3.62E-05,0.000566012,41.69050154,69.41460653,7.015418595,5.12199287,chr10,protein_coding,Rsph14
ENSMUSG00000009350.14,7.382052549,-6.307312864,1.989776447,-3.169860049,0.001525124,0.014447263,9.695465474,19.83274472,0,0,chr11,protein_coding,Mpo
ENSMUSG00000009739.18,1327.352875,-0.906642682,0.13077055,-6.933079957,4.12E-12,2.42E-10,1662.772329,1799.821584,979.1519954,867.6655922,chr15,protein_coding,Pou6f1
ENSMUSG00000010044.13,1050.192053,-2.21432474,0.206340623,-10.73140474,7.25E-27,2.55E-24,1334.096049,2122.103685,423.9317237,320.6367537,chr9,protein_coding,Zmynd10
ENSMUSG00000010136.15,248.1722206,-3.030100528,0.312299411,-9.702549624,2.94E-22,6.69E-20,350.0063036,534.4924703,64.14097002,44.04913868,chr3,protein_coding,Pifo
ENSMUSG00000010461.17,27.01507384,-3.62857748,0.86097098,-4.214517755,2.50E-05,0.000404539,50.41642047,49.58186181,6.013215939,2.048797148,chr10,protein_coding,Eya4
ENSMUSG00000011154.18,189.0693185,-2.474360275,0.386295491,-6.405356352,1.50E-10,7.01E-09,199.7265888,441.2785701,68.14978064,47.1223344,chr7,protein_coding,Cfap161
ENSMUSG00000011349.6,1470.744527,-0.867349764,0.13466584,-6.440755609,1.19E-10,5.65E-09,1861.529371,1938.650797,1147.522042,935.2758981,chr7,protein_coding,Dmrtc2
ENSMUSG00000012126.17,497.1075584,-1.519195265,0.271347557,-5.59870625,2.16E-08,6.86E-07,493.4991926,980.7292265,279.6145412,234.5872734,chr4,protein_coding,Ubxn11
ENSMUSG00000012211.14,172.8733406,-4.498304177,0.999659531,-4.499836232,6.80E-06,0.000125321,139.6147028,522.5928234,19.04185047,10.24398574,chr12,protein_coding,Tex22
ENSMUSG00000012609.20,2088.81349,-1.07456955,0.139129451,-7.723523255,1.13E-14,9.78E-13,2428.714101,3236.703939,1351.971384,1337.864538,chr12,protein_coding,Ttll5
ENSMUSG00000013155.11,539.079447,-1.079112008,0.189067186,-5.707558428,1.15E-08,3.81E-07,652.5048264,811.1592591,362.7973617,329.8563408,chr8,protein_coding,Enkd1
ENSMUSG00000013158.7,39.6359795,-2.941460313,0.79834695,-3.684438594,0.000229207,0.00284701,23.26911714,117.0131939,8.017621252,10.24398574,chr8,protein_coding,4933405L10Rik
ENSMUSG00000013353.11,45.28338854,-2.044572303,0.676605413,-3.021808966,0.002512691,0.02213595,40.72095499,105.113547,25.05506641,10.24398574,chr7,protein_coding,4931406B18Rik
ENSMUSG00000013495.16,579.5525326,-0.955858389,0.182363038,-5.241513838,1.59E-07,4.26E-06,711.6471658,818.1007198,430.9471423,357.5151023,chr5,protein_coding,Tmem175
ENSMUSG00000013822.8,1599.985067,-0.900813647,0.170844337,-5.272715882,1.34E-07,3.65E-06,1651.13777,2516.775305,1162.555082,1069.472111,chr9,protein_coding,Elof1
ENSMUSG00000013833.16,1820.073876,-0.698759668,0.132521335,-5.272808849,1.34E-07,3.65E-06,2002.11362,2502.892384,1425.132178,1350.157321,chr10,protein_coding,Med16
ENSMUSG00000013997.11,523.3802026,-0.632483677,0.195286561,-3.23874655,0.001200562,0.011821009,548.7633458,723.8951824,401.8832653,418.9790168,chr1,protein_coding,Nit1
ENSMUSG00000014075.16,911.197187,-0.947644835,0.163372804,-5.800505406,6.61E-09,2.34E-07,1058.74483,1341.68518,660.4515506,583.9071872,chr16,protein_coding,Dynlt2b
ENSMUSG00000014164.16,111.4235396,-1.255800114,0.374732832,-3.351187854,0.000804657,0.008418526,137.6756097,176.511428,75.16519924,56.34192157,chr13,protein_coding,Klhl3
ENSMUSG00000014470.5,1596.268268,-0.640952153,0.15511403,-4.132135259,3.59E-05,0.00056287,1641.442305,2249.033252,1332.929533,1161.667983,chr8,protein_coding,Rnf166
ENSMUSG00000014529.10,519.0319767,-6.742218442,0.787214486,-8.564652409,1.08E-17,1.42E-15,597.2406732,1459.690012,12.02643188,7.170790018,chr5,protein_coding,Tmbim7
ENSMUSG00000014668.16,1115.4455,-0.690785866,0.144151737,-4.79207453,1.65E-06,3.53E-05,1249.7455,1505.305324,828.8215969,877.9095779,chr5,protein_coding,Chfr
ENSMUSG00000014767.18,1440.70045,-0.685862507,0.130689582,-5.248027402,1.54E-07,4.13E-06,1704.46283,1849.403445,1187.610148,1021.325378,chr17,protein_coding,Tbp
ENSMUSG00000014786.9,423.7419986,-0.722545705,0.229671857,-3.145991481,0.001655248,0.015563333,420.7832016,634.6478311,309.6806209,329.8563408,chr8,protein_coding,Slc9a5
ENSMUSG00000015095.13,2185.002969,-1.300947167,0.151652788,-8.578458597,9.62E-18,1.28E-15,2551.846513,3665.091225,1249.746713,1273.327427,chr2,protein_coding,Fbxw5
ENSMUSG00000015599.10,895.5772179,-1.671170814,0.194117252,-8.609079298,7.36E-18,9.93E-16,1073.288028,1653.059273,435.9581556,420.0034153,chr17,protein_coding,Ttbk1
ENSMUSG00000015787.16,86.51105876,-1.174890214,0.421287011,-2.788811862,0.005290179,0.041027779,136.7060632,103.1302726,61.13436205,45.07353726,chr2,protein_coding,Abo
ENSMUSG00000015882.19,1205.844363,-1.040409602,0.135585144,-7.673477889,1.67E-14,1.39E-12,1525.096719,1720.490605,822.808381,754.981749,chr5,protein_coding,Lcorl
ENSMUSG00000015980.15,1096.388644,-2.437418435,0.199765257,-12.20141317,3.05E-34,1.87E-31,1417.477052,2284.732192,366.8061723,316.5391594,chr7,protein_coding,Lrrc27
ENSMUSG00000016526.9,264.1196327,-0.985129917,0.324882887,-3.03226164,0.002427287,0.021578967,222.9957059,478.960785,181.3986808,173.123359,chr1,protein_coding,Dyrk3
ENSMUSG00000016626.11,208.8070875,-3.984725974,0.918404669,-4.338747514,1.43E-05,0.000244681,163.8533665,621.756547,26.05726907,23.5611672,chr7,protein_coding,Nlrp14
ENSMUSG00000016637.8,463.7242655,-0.992682114,0.196750431,-5.045387253,4.53E-07,1.09E-05,608.8752318,625.723096,345.7599165,274.5388178,chr15,protein_coding,Ift27
ENSMUSG00000016982.7,377.9236466,-4.583383458,0.935047059,-4.901767684,9.50E-07,2.13E-05,373.2754208,1077.909676,43.09471423,17.41477576,chr13,protein_coding,Pom121l2
ENSMUSG00000017195.16,387.1593777,-3.868339384,0.76359324,-5.06596861,4.06E-07,9.89E-06,364.5495018,1084.851136,52.11453814,47.1223344,chr11,protein_coding,Zpbp2
ENSMUSG00000017417.15,131.4204883,-1.270425867,0.448177882,-2.834646504,0.004587642,0.036531422,95.98510819,275.6751516,76.16740189,77.85429162,chr11,protein_coding,Plxdc1
ENSMUSG00000017740.18,230.3836643,-1.150718342,0.316513513,-3.63560573,0.000277328,0.003376329,229.7825317,405.5796296,122.2687241,163.9037718,chr2,protein_coding,Slc12a5
ENSMUSG00000017830.16,84.56321756,-3.090219179,0.567629469,-5.444078132,5.21E-08,1.52E-06,76.59417725,226.0932898,13.02863453,22.53676863,chr11,protein_coding,Dhx58
ENSMUSG00000017832.3,403.3925908,-6.6352465,1.720297562,-3.857034181,0.000114771,0.001568048,261.7775678,1335.735357,15.03303985,1.024398574,chr11,protein_coding,Hspb9
ENSMUSG00000017843.15,3164.058086,-0.814039626,0.144987282,-5.614558848,1.97E-08,6.36E-07,3317.788285,4749.942361,2395.264349,2193.237347,chr12,protein_coding,Ppp2r5c
ENSMUSG00000018189.13,754.2091934,-0.600065417,0.155005851,-3.87124365,0.000108281,0.00148641,866.7746134,950.9801094,623.3700523,575.7119986,chr1,protein_coding,Uchl5
ENSMUSG00000018347.17,396.0414771,-0.674979092,0.198685438,-3.397224778,0.00068073,0.007334343,466.3518893,507.7182649,297.654189,312.4415651,chr11,protein_coding,Zkscan6
ENSMUSG00000018509.9,2085.804421,-0.790234188,0.158839875,-4.975036575,6.52E-07,1.52E-05,2127.185125,3159.356234,1578.469184,1478.207142,chr11,protein_coding,Cenpv
ENSMUSG00000018548.16,9050.243541,-1.155900309,0.112874359,-10.24059242,1.30E-24,3.72E-22,11136.21164,13851.18891,5990.165278,5223.408329,chr11,protein_coding,Trim37
ENSMUSG00000018554.14,9059.236435,-1.522341531,0.367105267,-4.146880113,3.37E-05,0.000530708,10517.64095,16362.0144,5299.647648,4057.642752,chr11,protein_coding,Ybx2
ENSMUSG00000019027.9,1245.691237,-2.328017472,0.183635899,-12.67735491,7.90E-37,7.61E-34,1638.533665,2516.775305,427.9405343,399.5154439,chr14,protein_coding,Dnah1
ENSMUSG00000019178.18,265.2196814,-0.833179629,0.269574206,-3.090724598,0.001996687,0.018264454,290.8639642,388.7217966,221.4867871,159.8061775,chr5,protein_coding,Styxl1
ENSMUSG00000019303.15,1142.289133,-0.937857492,0.171449251,-5.470175501,4.50E-08,1.34E-06,1323.431037,1678.841841,898.9757829,667.9078702,chr11,protein_coding,Psmc3ip
ENSMUSG00000019834.16,368.3709419,-6.160039302,1.0632117,-5.793803154,6.88E-09,2.43E-07,286.985778,1166.16539,7.015418595,13.31718146,chr10,protein_coding,Slc22a16
ENSMUSG00000019856.15,268.0172893,-1.919304952,0.275575621,-6.964712415,3.29E-12,1.96E-10,347.097664,500.7768042,99.21806299,124.976626,chr10,protein_coding,Fam184a
ENSMUSG00000019865.10,80.26233776,-1.160433949,0.423784303,-2.738265529,0.006176419,0.046510477,99.86329438,121.97138,53.11674079,46.09793583,chr10,protein_coding,Nmbr
ENSMUSG00000019872.14,152.5845077,-1.131493357,0.369524157,-3.062028114,0.002198428,0.019787808,145.4319821,273.6918772,108.2378869,82.97628449,chr10,protein_coding,Smpdl3a
ENSMUSG00000019883.12,103.1586518,-1.347135392,0.375141087,-3.591009998,0.000329399,0.003932188,142.5233425,153.7037716,63.13876736,53.26872585,chr10,protein_coding,Echdc1
ENSMUSG00000019892.14,169.8417549,-2.23019001,0.345567596,-6.453701208,1.09E-10,5.21E-09,225.9043455,334.1817486,72.15859127,47.1223344,chr10,protein_coding,Lrriq1
ENSMUSG00000019906.16,146.0214746,-8.161669705,1.347531475,-6.056756267,1.39E-09,5.52E-08,176.4574716,405.5796296,0,2.048797148,chr10,protein_coding,Lin7a
ENSMUSG00000019945.11,602.1001715,-1.626491862,0.205896584,-7.899557288,2.80E-15,2.63E-13,754.3072139,1065.018392,321.7070527,267.3680278,chr10,protein_coding,Cabcoco1
ENSMUSG00000019986.18,1225.395153,-1.562510815,0.181372565,-8.614923758,7.00E-18,9.57E-16,1447.532995,2214.325948,592.30177,647.4198988,chr10,protein_coding,Ahi1
ENSMUSG00000020014.19,475.259996,-1.812260694,0.207297329,-8.74232534,2.28E-18,3.35E-16,641.8398144,837.9334645,220.4845844,200.7821205,chr10,protein_coding,Cfap54
ENSMUSG00000020020.9,96.31292251,-2.197816579,0.414837524,-5.298017777,1.17E-07,3.21E-06,131.8583304,184.4445259,32.07048501,36.87834866,chr10,protein_coding,Usp44
ENSMUSG00000020029.7,5839.968736,-0.686024129,0.12141106,-5.650425334,1.60E-08,5.25E-07,6203.15881,8202.823217,4596.101383,4357.791534,chr10,protein_coding,Nudt4
ENSMUSG00000020037.16,425.6537679,-1.799192655,0.256217185,-7.022138867,2.18E-12,1.34E-10,570.0933699,752.6526622,239.5264349,140.3426046,chr10,protein_coding,Rfx4
ENSMUSG00000020038.11,1847.957532,-0.608520969,0.116784102,-5.210649041,1.88E-07,4.95E-06,2140.758777,2323.406044,1529.361254,1398.304054,chr10,protein_coding,Cry1
ENSMUSG00000020102.16,206.2597459,-3.044603588,0.350944941,-8.675445142,4.12E-18,5.83E-16,257.8993816,477.9691478,44.09691689,45.07353726,chr10,protein_coding,Slc16a7
ENSMUSG00000020124.11,1904.102771,-0.712057582,0.128482417,-5.542062476,2.99E-08,9.25E-07,2117.48966,2611.97248,1425.132178,1461.816765,chr10,protein_coding,Usp15
ENSMUSG00000020131.15,343.8947318,-1.4932124,0.309090858,-4.830982098,1.36E-06,2.95E-05,319.9503606,695.1377025,189.4163021,171.0745619,chr10,protein_coding,Pcsk4
ENSMUSG00000020156.17,5129.844967,-0.734736291,0.116442563,-6.309860198,2.79E-10,1.24E-08,5721.294176,7096.156062,4093.997852,3607.931778,chr10,protein_coding,Pwwp3a
ENSMUSG00000020164.8,38.27597613,-4.160394078,0.845343341,-4.921543564,8.59E-07,1.94E-05,33.93412916,111.0633704,4.008810626,4.097594296,chr10,lncRNA,Kcnmb4os1
ENSMUSG00000020193.4,529.0729605,-1.870456137,0.265159123,-7.054089303,1.74E-12,1.08E-10,569.1238233,1092.784234,251.5528668,202.8309177,chr11,protein_coding,Zpbp
ENSMUSG00000020213.7,19.22647266,-7.688207262,1.703014242,-4.514470328,6.35E-06,0.000117698,19.39093095,57.51495969,0,0,chr10,protein_coding,Glipr1l1
ENSMUSG00000020214.11,820.9861721,-1.137049217,0.161795417,-7.027697291,2.10E-12,1.30E-10,1058.74483,1198.889418,561.2334876,465.0769526,chr10,protein_coding,Glipr1l2
ENSMUSG00000020227.11,350.3723934,-1.82578022,0.264372171,-6.90609837,4.98E-12,2.88E-10,420.7832016,672.3300461,137.3017639,171.0745619,chr10,protein_coding,Irak3
ENSMUSG00000020258.17,100.4720474,-1.708955184,0.385810784,-4.429516369,9.44E-06,0.000168369,158.0360872,149.7372227,52.11453814,42.00034153,chr9,protein_coding,Glyctk
ENSMUSG00000020289.16,849.4277412,-0.708175872,0.147699065,-4.794721441,1.63E-06,3.48E-05,1067.470749,1040.227461,680.4956038,609.5171515,chr11,protein_coding,Nprl3
ENSMUSG00000020299.7,1625.667838,-0.742596673,0.127951463,-5.803737255,6.49E-09,2.30E-07,1974.966317,2095.32948,1320.903101,1111.472453,chr11,protein_coding,4930524B15Rik
ENSMUSG00000020319.10,289.9287045,-1.231563174,0.255317034,-4.82366239,1.41E-06,3.05E-05,336.432652,476.9775106,182.4008835,163.9037718,chr11,protein_coding,Wdpcp
ENSMUSG00000020332.8,227.9348619,-1.648634988,0.280746676,-5.872322374,4.30E-09,1.58E-07,340.3108381,351.0395816,132.2907507,88.09827736,chr11,protein_coding,Meikin
ENSMUSG00000020389.20,758.0688202,-1.299818799,0.177146973,-7.337516295,2.18E-13,1.60E-11,931.7342321,1224.671987,415.9141024,459.9549597,chr11,protein_coding,Cdkl3
ENSMUSG00000020434.5,278.2267305,-1.985112077,0.306576349,-6.475098571,9.48E-11,4.56E-09,344.1890243,544.4088426,140.3083719,84.00068307,chr11,protein_coding,4921536K21Rik
ENSMUSG00000020455.17,1555.663294,-0.890075479,0.126178259,-7.054111285,1.74E-12,1.08E-10,1876.072569,2165.735724,1068.348032,1112.496851,chr11,protein_coding,Trim11
ENSMUSG00000020461.11,148.9436314,-2.472405669,0.417672269,-5.919487243,3.23E-09,1.21E-07,167.7315527,337.1566603,59.12995673,31.75635579,chr11,protein_coding,Clhc1
ENSMUSG00000020462.15,2578.645104,-1.131650345,0.137733247,-8.216246741,2.10E-16,2.27E-14,3037.589333,4044.888286,1705.748921,1526.353875,chr11,protein_coding,Cfap36
ENSMUSG00000020472.15,1064.280967,-0.807305458,0.167428718,-4.821786062,1.42E-06,3.08E-05,1131.460821,1577.694843,781.7180721,766.2501334,chr11,protein_coding,Zkscan17
ENSMUSG00000020475.4,747.7612422,-5.225714142,0.753584868,-6.934473298,4.08E-12,2.41E-10,793.0890758,2120.120411,47.10352486,30.73195722,chr11,protein_coding,Pgam2
ENSMUSG00000020481.16,1148.192646,-1.658961894,0.441098386,-3.760979287,0.000169249,0.002191039,1277.862349,2210.359399,636.3986869,468.1501483,chr11,protein_coding,Ankrd36
ENSMUSG00000020513.16,338.1324547,-0.792794761,0.245204614,-3.233196748,0.001224132,0.011994718,353.8844898,503.7517159,272.5991226,222.2944906,chr11,protein_coding,Tubd1
ENSMUSG00000020526.13,340.4525537,-0.806362357,0.237129151,-3.400519732,0.000672579,0.007254243,358.7322225,507.7182649,251.5528668,243.8068606,chr11,protein_coding,Znhit3
ENSMUSG00000020553.9,354.8741165,-0.761531545,0.212200215,-3.588740686,0.000332279,0.003959562,416.9050154,475.9858733,274.6035279,252.0020492,chr11,protein_coding,Pctp
ENSMUSG00000020562.8,94.75762134,-1.288768441,0.441074309,-2.921885079,0.003479199,0.029018182,118.2846788,150.7288599,74.16299658,35.85395009,chr12,protein_coding,Efcab10
ENSMUSG00000020610.18,1511.953296,-0.90271121,0.160785776,-5.614372318,1.97E-08,6.36E-07,1625.92956,2314.481309,1100.418517,1006.983798,chr11,protein_coding,Amz2
ENSMUSG00000020639.15,702.9771888,-1.550842303,0.203676947,-7.614225975,2.65E-14,2.17E-12,860.9573341,1235.579996,400.8810626,314.4903622,chr12,protein_coding,Pfn4
ENSMUSG00000020650.16,1766.66156,-0.738657296,0.150031165,-4.923359054,8.51E-07,1.93E-05,1869.285743,2549.499334,1397.070503,1250.790659,chr12,protein_coding,Bcap29
ENSMUSG00000020657.17,1109.829802,-1.062512164,0.179303059,-5.925789372,3.11E-09,1.17E-07,1203.207265,1798.829946,691.519833,745.7621619,chr12,protein_coding,Dnajc27
ENSMUSG00000020660.7,162.3488571,-1.226360743,0.327412127,-3.745617963,0.00017995,0.002311818,181.3052044,273.6918772,103.2268736,91.17147309,chr12,protein_coding,Pomc
ENSMUSG00000020697.17,2477.385288,-0.629022936,0.112898053,-5.571601274,2.52E-08,7.92E-07,2787.446324,3230.754115,1912.202669,1979.138045,chr11,protein_coding,Lig3
ENSMUSG00000020698.12,493.1349304,-3.273283339,0.690320096,-4.741689192,2.12E-06,4.41E-05,533.2506011,1254.421104,117.2577108,67.61030588,chr11,protein_coding,Cct6b
ENSMUSG00000020712.12,3101.283003,-1.005510775,0.140066229,-7.178823752,7.03E-13,4.73E-11,3754.084232,4526.823983,2359.185053,1765.038743,chr11,protein_coding,Tcam1
ENSMUSG00000020743.16,2482.303168,-0.725721786,0.117050183,-6.20009098,5.64E-10,2.41E-08,2959.056063,3228.770841,2022.444961,1718.940807,chr11,protein_coding,Mif4gd
ENSMUSG00000020799.17,756.0129542,-2.077495926,0.45314945,-4.584571223,4.55E-06,8.66E-05,936.5819648,1508.280236,351.7731324,227.4164834,chr11,protein_coding,Tekt1
