"","X","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","WT_rep1","WT_rep2","KO_rep1","KO_rep3","chrom","type","symbol"
"192",192,"ENSMUSG00000001175.17",12801.6204091745,-0.614810502198194,0.0920318564196426,-6.68040965505259,2.38275238437382e-11,1.2621102551157e-09,14444.3044632914,16533.5676377081,10461.9935311891,9766.61600450945,"chr12","protein_coding","Calm1"
"244",244,"ENSMUSG00000001508.16",65.799455565165,-1.80146364370237,0.512404696886209,-3.51570478305437,0.000438588374609614,0.00501945541394283,74.6550841504523,129.904477930772,35.0770929774517,23.5611672019842,"chr11","protein_coding","Sgca"
"271",271,"ENSMUSG00000001665.12",124.131601850683,-1.12413701593231,0.389612484411499,-2.88526949445753,0.00391078730534072,0.0320238244986904,119.254225331242,221.135103653146,73.1607939243993,82.9762844939443,"chr10","protein_coding","Gstt3"
"319",319,"ENSMUSG00000001948.11",972.804758095343,-1.12507695362639,0.191086932863211,-5.88777545784241,3.91428427254553e-09,1.4479273852045e-07,1101.40487785602,1566.78683305816,698.535251579538,524.492069887648,"chr9","protein_coding","Spa17"
"338",338,"ENSMUSG00000002031.14",1180.82039757553,-0.872213797695058,0.151550098813261,-5.75528359615122,8.64964618586663e-09,2.98154924914524e-07,1331.18740959183,1723.46551636398,837.841420832847,830.787243513443,"chr9","protein_coding","Ift46"
"343",343,"ENSMUSG00000002055.10",1880.93102751956,-0.83879742467786,0.126653012921063,-6.62279882122221,3.52460574665617e-11,1.80093112822831e-09,2196.9924764276,2628.83031293493,1404.08592175457,1293.81539896113,"chr11","protein_coding","Spag5"
"362",362,"ENSMUSG00000002190.14",6176.03703124116,-1.6666430092606,0.267006110132696,-6.24196580532304,4.32105430850866e-10,1.86820967688813e-08,8045.2972503955,10741.4145415734,3307.26876644545,2610.16756655025,"chr8","protein_coding","Clgn"
"365",365,"ENSMUSG00000002210.12",1364.72217205103,-1.0965414983649,0.178151741103719,-6.15509840976798,7.5030890267187e-10,3.13672527616996e-08,1477.58893825051,2242.09179085095,935.055078513213,804.15288058946,"chr7","protein_coding","Smg9"
"378",378,"ENSMUSG00000002279.20",432.031088351278,-1.08788115866495,0.232088050701806,-4.6873639352622,2.76746576191872e-06,5.56629246785917e-05,468.290982398292,707.037349348399,294.647581010594,258.148440647827,"chr17","protein_coding","Lmf1"
"390",390,"ENSMUSG00000002332.17",784.843218883601,-0.744207989056819,0.159378355548029,-4.66944201110513,3.02018933924758e-06,6.01724664031347e-05,895.861009805428,1069.97657776567,574.262122173709,599.273165789598,"chr14","protein_coding","Dhrs1"
"412",412,"ENSMUSG00000002486.16",994.096418232369,-1.17333601319269,0.178986640553904,-6.55543905154937,5.54784049464169e-11,2.77172850786617e-09,1124.67399499383,1630.25161616938,584.284148738696,637.175913027573,"chr5","protein_coding","Tchp"
"464",464,"ENSMUSG00000002835.10",1089.24978828462,-0.623502624862411,0.144549517544102,-4.31341892699282,1.60749104233138e-05,0.000271729104014479,1202.2377187865,1439.85726683573,829.823799580858,885.080367935406,"chr17","protein_coding","Chaf1a"
"492",492,"ENSMUSG00000003033.16",2966.06094136121,-0.642424070509298,0.11247520943253,-5.71169481479977,1.11856549976979e-08,3.73482744593102e-07,3364.3265195074,3867.38522083977,2442.36787388714,2190.16415121053,"chr8","protein_coding","Ap1m1"
"507",507,"ENSMUSG00000003153.11",9491.57349960106,-3.56732142408589,0.417924269804556,-8.53580823567428,1.39179036231339e-17,1.78237254373729e-15,12666.1560953443,22346.5451158011,1607.53306102379,1346.0597262351,"chr6","protein_coding","Slc2a3"
"534",534,"ENSMUSG00000003341.10",3054.15663834964,-4.11610017534178,0.691849653308499,-5.9494142342316,2.69103804156375e-09,1.02132500780642e-07,3309.06236630511,8241.49706933317,406.89427853844,259.172839221826,"chr10","protein_coding","Atp8b3"
"540",540,"ENSMUSG00000003354.7",544.529692603905,-3.02209836582134,0.252752211194113,-11.9567633119553,5.98495438232983e-33,3.27296126951518e-30,745.581294957115,1193.93123227977,142.312777222804,96.2934659559354,"chr15","protein_coding","Ccdc65"
"572",572,"ENSMUSG00000003531.16",896.445673025638,-0.7499081277996,0.166293533357069,-4.50954473490788,6.49668945155772e-06,0.000120159062488866,969.546547408471,1279.21203458546,685.506617045056,651.517493063563,"chr16","protein_coding","Dgcr6"
"584",584,"ENSMUSG00000003604.15",621.39742158306,-1.046748089298,0.213397891911822,-4.90514728107307,9.33572617048957e-07,2.09850306282697e-05,650.565733311084,1024.36126490448,399.878859942949,410.783828173724,"chr2","protein_coding","Aven"
"604",604,"ENSMUSG00000003813.16",781.754644670656,-0.656096934921074,0.161713181731795,-4.0571642205966,4.96721565032953e-05,0.000745045526084267,860.957334098723,1052.12710751564,600.319391242674,613.614745825588,"chr8","protein_coding","Rad23a"
"612",612,"ENSMUSG00000003868.15",1538.52928334242,-0.709947714749088,0.129168214280563,-5.49630355040003,3.87834692589852e-08,1.17301153510659e-06,1800.44793853753,2018.97341272558,1244.73569937129,1089.96008273527,"chr7","protein_coding","Ruvbl2"
"627",627,"ENSMUSG00000004032.11",2065.31290944089,-1.83002607508492,0.343953623125804,-5.32056054084817,1.03448016049094e-07,2.85172637157679e-06,2473.31324243901,3974.48204233995,959.10794226918,854.348410715427,"chr3","protein_coding","Gstm5"
"646",646,"ENSMUSG00000004127.13",1056.12557640337,-0.771926815076074,0.163107895651244,-4.73261464133288,2.21646044394534e-06,4.57631230844796e-05,1143.09537939459,1521.17152019698,736.618952526486,823.616453495447,"chr3","protein_coding","Trmt10a"
"665",665,"ENSMUSG00000004347.18",1056.22582777106,-1.89784860200186,0.387493076569439,-4.89776131951551,9.69346765486493e-07,2.16248759127384e-05,1340.88287506592,1990.21593287831,531.167407944269,362.637095195757,"chr6","protein_coding","Pde1c"
"724",724,"ENSMUSG00000004843.8",1547.40898104698,-0.690304474918759,0.126485561263618,-5.4575752996822,4.82680477276846e-08,1.41955767110752e-06,1836.32116079165,1985.25774669775,1264.77975250126,1103.27726419726,"chr16","protein_coding","Chmp2b"
"754",754,"ENSMUSG00000004994.13",330.184752784187,-0.657082793253985,0.233694021040894,-2.81172274039053,0.00492769592201549,0.038691113421056,344.189024330007,464.086226500773,265.583703972134,246.880056333834,"chr8","protein_coding","Ccdc130"
"770",770,"ENSMUSG00000005131.5",100.125899764388,-1.78282293529602,0.394534397446983,-4.51880228145531,6.21904364299495e-06,0.000115658206867978,132.827876994961,177.503065264184,45.0991195424379,45.0735372559698,"chr9","protein_coding","4930550C14Rik"
"781",781,"ENSMUSG00000005237.15",1008.67727465971,-2.13069738133031,0.552369049120582,-3.85738010614924,0.000114608864235807,0.00156688902631576,1027.71934025298,2256.96634939265,408.898683851437,341.124725141771,"chr11","protein_coding","Dnah2"
"793",793,"ENSMUSG00000005360.15",119.253029765968,-1.05282688428139,0.350079196663578,-3.00739631007879,0.00263495998922627,0.0230804244251101,149.310168300905,172.544879083621,71.156388611402,84.0006830679436,"chr15","protein_coding","Slc1a3"
"809",809,"ENSMUSG00000005474.10",128.853307101099,-1.74373402041347,0.425558435492694,-4.09751957658799,4.1760086076124e-05,0.000640507596801196,118.284678783834,278.650063347686,62.1365647029145,56.3419215699622,"chr5","protein_coding","Myl10"
"877",877,"ENSMUSG00000005947.12",132.412104408738,-1.7302760589965,0.439702989375568,-3.93510187741436,8.31614124351378e-05,0.00118166293484029,111.497852951974,295.507896361603,59.1299567334186,63.5127115879574,"chr11","protein_coding","Itgae"
"930",930,"ENSMUSG00000006310.11",1209.48937678049,-0.629459860181752,0.132907744528181,-4.73606607663322,2.17906568010353e-06,4.51291862550818e-05,1377.72564386744,1560.83700964149,964.118955551673,935.275898061372,"chr7","protein_coding","Zbtb32"
"982",982,"ENSMUSG00000006589.9",848.109796913053,-0.733331990282385,0.172711598408699,-4.24599156651339,2.17628816212258e-05,0.000357137183068842,902.647835637287,1215.74725147425,661.453753289089,612.590347251589,"chr8","protein_coding","Aprt"
"996",996,"ENSMUSG00000006711.16",83.6005516876119,-1.81539791041326,0.439509124691927,-4.13051244768982,3.61955494871214e-05,0.000566011751903014,103.741480572706,156.678683305816,36.0792956339503,37.9027472379746,"chr13","protein_coding","D130043K22Rik"
"1010",1010,"ENSMUSG00000006784.15",400.462903155455,-2.48978253101922,0.283917207812209,-8.7693963680639,1.79626655345662e-18,2.69227092167713e-16,466.351889303475,893.465149737598,126.277534718826,115.757038861922,"chr11","protein_coding","Odad4"
"1014",1014,"ENSMUSG00000006906.11",1678.28903017335,-2.59993541359245,0.121156580583901,-21.4593000319284,3.73889907302358e-102,3.78264419217795e-98,2952.2692368588,2810.29992714357,465.02203261536,485.564924075674,"chr6","protein_coding","Stambp"
"1077",1077,"ENSMUSG00000007867.10",814.319862226602,-0.652114527380946,0.165235995206147,-3.94656458822652,7.92805421924857e-05,0.0011312852543884,891.982823615794,1098.73405761294,675.48459048007,591.077977197603,"chr12","protein_coding","Ift43"
"1087",1087,"ENSMUSG00000007950.10",1909.33459556385,-1.0714659517768,0.150384085230123,-7.12486264844589,1.04184529459739e-12,6.71359799072727e-11,2186.3274644061,2988.79462964386,1314.88988532619,1147.32640287923,"chr8","protein_coding","Abhd8"
"1088",1088,"ENSMUSG00000007987.13",1026.97480918744,-0.982048927560919,0.175337027476295,-5.6009215035523,2.13215278974908e-08,6.81547860154547e-07,1116.91762261456,1610.41887144713,708.557278144525,672.005464543549,"chr5","protein_coding","Ift22"
"1121",1121,"ENSMUSG00000008496.20",323.280376815703,-0.910522902958051,0.25069615049777,-3.63197799866556,0.000281257106022827,0.00342004584330882,378.123153489304,466.069500972998,266.585906628633,182.342946171878,"chr7","protein_coding","Pou2f2"
"1135",1135,"ENSMUSG00000008822.16",761.706061785471,-1.82748825936656,0.48492727246379,-3.76858214239337,0.000164177459190122,0.00213768771509197,820.236379107567,1556.87046069704,380.837009469476,288.880397867806,"chr12","protein_coding","Acyp1"
"1148",1148,"ENSMUSG00000009070.15",30.8106298829861,-3.1929180315065,0.773009984320517,-4.13050037680057,3.61974501810072e-05,0.000566011751903014,41.6905015385643,69.4146065278933,7.01541859549034,5.12199286999656,"chr10","protein_coding","Rsph14"
"1172",1172,"ENSMUSG00000009350.14",7.38205254908499,-6.30731286442883,1.98977644661557,-3.16986004893011,0.00152512375760955,0.0144472631608013,9.69546547408472,19.8327447222552,0,0,"chr11","protein_coding","Mpo"
"1208",1208,"ENSMUSG00000009739.18",1327.35287498169,-0.906642682229004,0.130770550440465,-6.93307995703331,4.1177530462118e-12,2.42205276561191e-10,1662.77232880553,1799.82158354466,979.151995399152,867.665592177418,"chr15","protein_coding","Pou6f1"
"1223",1223,"ENSMUSG00000010044.13",1050.19205296902,-2.21432474042242,0.206340623147871,-10.7314047357294,7.24857894869824e-27,2.55044247818789e-24,1334.09604923406,2122.10368528131,423.931723698916,320.636753661785,"chr9","protein_coding","Zmynd10"
"1239",1239,"ENSMUSG00000010136.15",248.17222064428,-3.03010052807582,0.312299410524688,-9.70254962372492,2.94056927768906e-22,6.68533469266971e-20,350.006303614458,534.492470264779,64.1409700159117,44.0491386819704,"chr3","protein_coding","Pifo"
"1254",1254,"ENSMUSG00000010461.17",27.0150738394672,-3.62857747968965,0.8609709795394,-4.21451775486191,2.50312461453901e-05,0.000404538525963118,50.4164204652405,49.5818618056381,6.01321593899172,2.04879714799863,"chr10","protein_coding","Eya4"
"1287",1287,"ENSMUSG00000011154.18",189.06931847055,-2.47436027529786,0.386295490716777,-6.40535635222312,1.50018572285497e-10,7.01421325024472e-09,199.726588766145,441.278570070179,68.1497806419062,47.1223344039684,"chr7","protein_coding","Cfap161"
"1298",1298,"ENSMUSG00000011349.6",1470.74452684425,-0.867349763564133,0.134665839874713,-6.44075560937412,1.188801625156e-10,5.64652865807664e-09,1861.52937102427,1938.65079660045,1147.52204169092,935.275898061372,"chr7","protein_coding","Dmrtc2"
"1321",1321,"ENSMUSG00000012126.17",497.107558438848,-1.51919526536987,0.271347557349504,-5.59870625042369,2.15957366370217e-08,6.85978234087123e-07,493.499192630912,980.729226515522,279.614541163115,234.587273445843,"chr4","protein_coding","Ubxn11"
"1323",1323,"ENSMUSG00000012211.14",172.873340617928,-4.49830417732329,0.999659531085342,-4.49983623168123,6.80058343981045e-06,0.00012532149847097,139.61470282682,522.592823431426,19.0418504734738,10.2439857399931,"chr12","protein_coding","Tex22"
"1336",1336,"ENSMUSG00000012609.20",2088.8134902975,-1.07456954995198,0.139129450966474,-7.72352325469114,1.13157493901454e-14,9.78473816923944e-13,2428.71410125822,3236.70393867205,1351.97138361664,1337.8645376431,"chr12","protein_coding","Ttll5"
"1349",1349,"ENSMUSG00000013155.11",539.079447006605,-1.07911200849331,0.189067185583771,-5.70755842776951,1.14608284524551e-08,3.81411846886475e-07,652.504826405901,811.159259140239,362.797361652501,329.856340827779,"chr8","protein_coding","Enkd1"
"1350",1350,"ENSMUSG00000013158.7",39.6359794977728,-2.94146031280324,0.798346949604014,-3.68443859435077,0.000229207272491825,0.00284701040613848,23.2691171378033,117.013193861306,8.01762125198896,10.2439857399931,"chr8","protein_coding","4933405L10Rik"
"1355",1355,"ENSMUSG00000013353.11",45.2833885428918,-2.04457230328042,0.67660541294383,-3.02180896600387,0.00251269067591828,0.0221359497074049,40.7209549911558,105.113547027953,25.0550664124655,10.2439857399931,"chr7","protein_coding","4931406B18Rik"
"1362",1362,"ENSMUSG00000013495.16",579.552532552753,-0.955858388691454,0.182363038264561,-5.24151383848274,1.59264530361478e-07,4.26264352821977e-06,711.647165797818,818.100719793029,430.947142294407,357.51510232576,"chr5","protein_coding","Tmem175"
"1382",1382,"ENSMUSG00000013822.8",1599.98506707112,-0.900813646503939,0.170844336509477,-5.27271588223803,1.3441957478163e-07,3.65079956527718e-06,1651.13777023663,2516.77530525419,1162.5550815384,1069.47211125528,"chr9","protein_coding","Elof1"
"1383",1383,"ENSMUSG00000013833.16",1820.07387560481,-0.698759667648424,0.132521334966674,-5.2728088486593,1.343514769004e-07,3.65079956527718e-06,2002.11362039849,2502.89238394861,1425.13217754104,1350.15732053109,"chr10","protein_coding","Med16"
"1392",1392,"ENSMUSG00000013997.11",523.380202554294,-0.632483677204972,0.195286561443263,-3.23874655035455,0.00120056206568801,0.0118210086798692,548.763345833195,723.895182362316,401.883265255947,418.979016765719,"chr1","protein_coding","Nit1"
"1396",1396,"ENSMUSG00000014075.16",911.197187010704,-0.947644835188258,0.163372804402767,-5.80050540634661,6.6115342254964e-09,2.33877243913801e-07,1058.74482977005,1341.68518046057,660.451550632591,583.907187179608,"chr16","protein_coding","Dynlt2b"
"1399",1399,"ENSMUSG00000014164.16",111.423539641858,-1.25580011376434,0.374732831658081,-3.35118785351098,0.00080465697356983,0.00841852595822748,137.675609732003,176.511428028072,75.1651992373965,56.3419215699622,"chr13","protein_coding","Klhl3"
"1421",1421,"ENSMUSG00000014470.5",1596.26826808117,-0.640952152504532,0.155114029986679,-4.13213525919982,3.59408809812656e-05,0.000562869803231368,1641.44230476254,2249.03325150374,1332.92953314316,1161.66798291522,"chr8","protein_coding","Rnf166"
"1426",1426,"ENSMUSG00000014529.10",519.031976664396,-6.74221844193169,0.787214485789659,-8.5646524087632,1.08402359645037e-17,1.42429437990759e-15,597.240673203618,1459.69001155799,12.0264318779834,7.17079001799519,"chr5","protein_coding","Tmbim7"
"1439",1439,"ENSMUSG00000014668.16",1115.44549971762,-0.690785866107391,0.144151736733537,-4.79207453035618,1.65065557176289e-06,3.52652889347122e-05,1249.74549960952,1505.30532441917,828.821596924359,877.909577917411,"chr5","protein_coding","Chfr"
"1445",1445,"ENSMUSG00000014767.18",1440.70045048064,-0.685862506978605,0.130689581891688,-5.24802740242165,1.53736434673063e-07,4.12560082118667e-06,1704.46283034409,1849.4034453503,1187.61014795086,1021.32537827731,"chr17","protein_coding","Tbp"
"1451",1451,"ENSMUSG00000014786.9",423.741998593324,-0.722545705272777,0.229671856880077,-3.14599148144674,0.00165524826674996,0.0155633333779827,420.783201575277,634.647831112168,309.680620858074,329.856340827779,"chr8","protein_coding","Slc9a5"
"1482",1482,"ENSMUSG00000015095.13",2185.0029693967,-1.30094716703398,0.151652788471761,-8.57845859706187,9.61529139013917e-18,1.27997240781629e-15,2551.8465127791,3665.09122467277,1249.74671265378,1273.32742748115,"chr2","protein_coding","Fbxw5"
"1543",1543,"ENSMUSG00000015599.10",895.577217874442,-1.67117081420604,0.194117251834309,-8.60907929828149,7.36496916081751e-18,9.93485239999877e-16,1073.28802798118,1653.05927259997,435.9581555769,420.003415339718,"chr17","protein_coding","Ttbk1"
"1572",1572,"ENSMUSG00000015787.16",86.5110587606768,-1.17489021436688,0.421287011207695,-2.78881186248502,0.00529017867130359,0.0410277789326013,136.706063184594,103.130272555727,61.1343620464158,45.0735372559698,"chr2","protein_coding","Abo"
"1588",1588,"ENSMUSG00000015882.19",1205.84436343801,-1.04040960153307,0.135585143601254,-7.67347788923575,1.67394398708167e-14,1.39385113722677e-12,1525.09671907353,1720.49060465564,822.808380985367,754.981749037493,"chr5","protein_coding","Lcorl"
"1603",1603,"ENSMUSG00000015980.15",1096.38864398982,-2.43741843498391,0.199765256847917,-12.2014131658517,3.05475859563098e-34,1.87302986133325e-31,1417.47705231119,2284.7321920038,366.806172278495,316.539159365788,"chr7","protein_coding","Lrrc27"
"1646",1646,"ENSMUSG00000016526.9",264.119632694637,-0.985129916851555,0.324882887412166,-3.03226163956663,0.00242728713916126,0.0215789665965681,222.995705903948,478.960785042464,181.39868082625,173.123359005884,"chr1","protein_coding","Dyrk3"
"1655",1655,"ENSMUSG00000016626.11",208.80708745642,-3.98472597435503,0.918404668920036,-4.33874751425286,1.43297035970438e-05,0.000244681200491633,163.853366512032,621.756547042702,26.0572690689641,23.5611672019842,"chr7","protein_coding","Nlrp14"
"1656",1656,"ENSMUSG00000016637.8",463.724265520878,-0.99268211434807,0.196750430548958,-5.0453872531733,4.52603724855578e-07,1.0928381585594e-05,608.87523177252,625.723095987153,345.759916492024,274.538817831816,"chr15","protein_coding","Ift27"
"1670",1670,"ENSMUSG00000016982.7",377.923646598566,-4.58338345828582,0.935047059205233,-4.90176768448593,9.49781167014889e-07,2.12822504245618e-05,373.275420752262,1077.90967565457,43.0947142294407,17.4147757579883,"chr13","protein_coding","Pom121l2"
"1686",1686,"ENSMUSG00000017195.16",387.159377668711,-3.86833938384458,0.763593239874806,-5.06596860977816,4.06328875374867e-07,9.8936924961914e-06,364.549501825585,1084.85113630736,52.1145381379283,47.1223344039684,"chr11","protein_coding","Zpbp2"
"1708",1708,"ENSMUSG00000017417.15",131.420488337657,-1.27042586746017,0.448177882457316,-2.83464650351453,0.00458764176241129,0.0365314220466864,95.9851081934387,275.675151639348,76.1674018938951,77.8542916239478,"chr11","protein_coding","Plxdc1"
"1749",1749,"ENSMUSG00000017740.18",230.383664309662,-1.15071834231263,0.316513513243961,-3.63560572981189,0.000277328218209611,0.00337632922217405,229.782531735808,405.57962957012,122.268724092832,163.90377183989,"chr2","protein_coding","Slc12a5"
"1764",1764,"ENSMUSG00000017830.16",84.5632175603615,-3.09021917859272,0.567629468889941,-5.44407813187707,5.20743609362857e-08,1.52264829361966e-06,76.5941772452693,226.09328983371,13.0286345344821,22.5367686279849,"chr11","protein_coding","Dhx58"
"1766",1766,"ENSMUSG00000017832.3",403.392590816414,-6.63524649984662,1.72029756249407,-3.85703418089304,0.000114771118275091,0.00156804781038365,261.777567800287,1335.73535704389,15.0330398474793,1.02439857399931,"chr11","protein_coding","Hspb9"
"1768",1768,"ENSMUSG00000017843.15",3164.05808554404,-0.814039626134719,0.144987281853984,-5.6145588476825,1.97064355950343e-08,6.35621579367091e-07,3317.78828523179,4749.94236098013,2395.2643490317,2193.23734693253,"chr12","protein_coding","Ppp2r5c"
"1795",1795,"ENSMUSG00000018189.13",754.209193436267,-0.600065417301639,0.155005851245091,-3.87124364971767,0.000108281492225683,0.00148640957509801,866.774613383173,950.980109432139,623.370052342142,575.711998587614,"chr1","protein_coding","Uchl5"
"1812",1812,"ENSMUSG00000018347.17",396.041477060772,-0.674979092347437,0.198685437811378,-3.39722477793379,0.000680730255174158,0.00733434290904894,466.351889303475,507.718264889734,297.65418898009,312.44156506979,"chr11","protein_coding","Zkscan6"
"1847",1847,"ENSMUSG00000018509.9",2085.80442138395,-0.790234188340291,0.158839875126085,-4.97503657512331,6.52353214516669e-07,1.51895453884123e-05,2127.18512501419,3159.35623425526,1578.46918398533,1478.20714228101,"chr11","protein_coding","Cenpv"
"1852",1852,"ENSMUSG00000018548.16",9050.24354106788,-1.15590030924298,0.112874359414757,-10.2405924182978,1.30435221172464e-24,3.71602567406147e-22,11136.2116435337,13851.1889140231,5990.16527789225,5223.4083288225,"chr11","protein_coding","Trim37"
"1853",1853,"ENSMUSG00000018554.14",9059.23643533091,-1.522341531044,0.367105267003632,-4.14688011280682,3.37036425519305e-05,0.000530707784743783,10517.6409462871,16362.0143958606,5299.6476475647,4057.64275161128,"chr11","protein_coding","Ybx2"
"1936",1936,"ENSMUSG00000019027.9",1245.69123713979,-2.328017472003,0.183635899421899,-12.6773549144355,7.89514261628127e-37,7.60715789037311e-34,1638.53366512032,2516.77530525419,427.940534324911,399.515443859732,"chr14","protein_coding","Dnah1"
"1954",1954,"ENSMUSG00000019178.18",265.219681352208,-0.833179628766401,0.269574205793377,-3.09072459775701,0.00199668734028969,0.0182644537266824,290.863964222541,388.721796556203,221.486787086195,159.806177543893,"chr5","protein_coding","Styxl1"
"1972",1972,"ENSMUSG00000019303.15",1142.28913276957,-0.937857491936362,0.1714492508915,-5.47017550126174,4.49590157668921e-08,1.33782020244156e-06,1323.43103721256,1678.84184073891,898.975782879262,667.907870247552,"chr11","protein_coding","Psmc3ip"
"2057",2057,"ENSMUSG00000019834.16",368.370941939749,-6.16003930237721,1.06321170024302,-5.79380315413119,6.881010475446e-09,2.42561613171036e-07,286.985778032908,1166.16538966861,7.01541859549034,13.3171814619911,"chr10","protein_coding","Slc22a16"
"2073",2073,"ENSMUSG00000019856.15",268.017289307614,-1.9193049522879,0.275575621499963,-6.96471241483947,3.29075276957933e-12,1.9641619923206e-10,347.097663972233,500.776804236945,99.2180629933634,124.976626027916,"chr10","protein_coding","Fam184a"
"2078",2078,"ENSMUSG00000019865.10",80.2623377623346,-1.16043394941762,0.423784303318432,-2.73826552878639,0.00617641853780979,0.0465104773703176,99.8632943830726,121.97138004187,53.1167407944269,46.0979358299691,"chr10","protein_coding","Nmbr"
"2081",2081,"ENSMUSG00000019872.14",152.584507668547,-1.13149335747346,0.369524156944794,-3.0620281142878,0.00219842803089793,0.019787808174906,145.431982111271,273.691877167122,108.237886901851,82.9762844939443,"chr10","protein_coding","Smpdl3a"
"2087",2087,"ENSMUSG00000019883.12",103.158651818475,-1.3471353923961,0.375141086518532,-3.59100999812653,0.00032939899813296,0.00393218839423145,142.523342469045,153.703771597478,63.1387673594131,53.2687258479643,"chr10","protein_coding","Echdc1"
"2091",2091,"ENSMUSG00000019892.14",169.841754947011,-2.2301900096064,0.345567595648163,-6.45370120836518,1.09150915126265e-10,5.20886702043595e-09,225.904345546174,334.181748570001,72.1585912679007,47.1223344039684,"chr10","protein_coding","Lrriq1"
"2096",2096,"ENSMUSG00000019906.16",146.021474586615,-8.16166970533188,1.34753147480107,-6.05675626726028,1.38893792272449e-09,5.52136933760456e-08,176.457471628342,405.57962957012,0,2.04879714799863,"chr10","protein_coding","Lin7a"
"2113",2113,"ENSMUSG00000019945.11",602.100171504694,-1.62649186220894,0.205896584201,-7.89955728756105,2.79895773089992e-15,2.6341446849781e-13,754.307213883791,1065.01839158511,321.707052736057,267.368027813821,"chr10","protein_coding","Cabcoco1"
"2130",2130,"ENSMUSG00000019986.18",1225.39515306972,-1.56251081521938,0.181372564535373,-8.61492375774749,6.99881538206031e-18,9.56851557031138e-16,1447.53299528085,2214.3259482398,592.301769990685,647.419898767566,"chr10","protein_coding","Ahi1"
"2144",2144,"ENSMUSG00000020014.19",475.259995958313,-1.81226069429395,0.207297329236477,-8.74232533997867,2.28360753192921e-18,3.34829817398953e-16,641.839814384408,837.933464515284,220.484584429696,200.782120503865,"chr10","protein_coding","Cfap54"
"2149",2149,"ENSMUSG00000020020.9",96.3129225091142,-2.19781657860239,0.414837524349245,-5.29801777708055,1.17066571650152e-07,3.20965448613711e-06,131.858330447552,184.444525916974,32.0704850079558,36.8783486639753,"chr10","protein_coding","Usp44"
"2155",2155,"ENSMUSG00000020029.7",5839.96873598498,-0.686024128874214,0.121411059922545,-5.65042533449481,1.60051316076029e-08,5.24874931844792e-07,6203.1588103194,8202.82321712477,4596.10138270267,4357.79153379308,"chr10","protein_coding","Nudt4"
"2159",2159,"ENSMUSG00000020037.16",425.653767906711,-1.79919265478338,0.25621718521659,-7.02213886731468,2.18497202346491e-12,1.34379100069268e-10,570.093369876181,752.652662209586,239.52643490317,140.342604637906,"chr10","protein_coding","Rfx4"
